UBI_COD;UBI_DESC
102001000;ADMINISTRACION Y FINANZAS
102002000;ADMINISTRACION Y FINANZAS
140001000;ADMINISTRADOR
150001000;ADMINISTRADOR (A)
106001100;ADMISION EMERGENCIA
106001000;ADMISION OFICINA
102003000;ALMACEN
103014000;APRENDICES  I.N.C.E.
140013000;APRENDICES INCE
110013000;APRENDICES INCE
150008000;APRENDICES INCE
101004000;ASEGURAMIENTO DE LA CALIDAD
150002000;ASISTENTE ADMINISTRATIVO
125003000;ATEN AL CLIENTE
110002000;ATENCION AL CLIENTE
110002100;ATENCION AL CLIENTE AREA QUIRURGICA
110002110;ATENCION AL CLIENTE HOSPITALIZACION
101003000;AUDITORIA INTERNA
125004000;AUX MTTO
150005000;AUX. DE FARMACIA
140011000;AUX. DE LIMPIEZA
150004000;AUX. FARMACIA I
110006000;AUX. LIMPIEZA
110010000;AUX.COMPRAS/ALMACEN
140007000;AUXILIAR MEDICO
102004000;CAJA
105006200;CAMILLEROS AREA QUIRURGICA
105006100;CAMILLEROS EMERGENCIA
105006000;CAMILLEROS HOSPITALIZACION
110009000;CENTRO DE COMUNICACIONES
102005000;COMPRAS
101002000;CONSULTORIA JURIDICA
105000000;COORDINACION MEDICA
106002000;CREDITO Y COBRANZA
106000000;DPTO. ATENCION AL CLIENTE
140012000;DPTO. COBRANZA
105001131;ENF. AREA QUIRURGICA ADMINISTRATIVO
105001000;ENFERMERIA ADMINISTRATIVO
105001130;ENFERMERIA AQ SERV TERAPEUTICO
105001132;ENFERMERIA AQ SERVI HOSPITALARIO
105001120;ENFERMERIA EMERG SERV HOSPITALARIO
105001121;ENFERMERIA EMERG SERV TERAPEUTICO
105001150;ENFERMERIA HEMODINAMIA
105001101;ENFERMERIA HOS. TERAPEUTICO FARM
105001100;ENFERMERIA HOSP SERV HOSPITALARIO
105001160;ENFERMERIA RESONANCIA
105014000;ENFERMERIA TELEMETRIA
105001170;ENFERMERIA TOMOGRAFIA
105001110;ENFERMERIA UCI SERV HOSPITALARIO
105001111;ENFERMERIA UCI SERV TERAPEUTICO FARM
105001141;ENFERMERIA URN SERV HOSPITALARIO
105001140;ENFERMERIA URN SERV TERAPEUTICO
125001000;ESTACIONAMIENTO
105005000;ESTERILIZACION
150000000;FARMACIA
150003000;FARMACIA
155002000;FISIATRIA
130001000;FUENTE DE SODA
130000000;FUENTE DE SODA VENTA
101001000;GERENCIA GENERAL
140002000;GERENTE OPERATIVO
105009000;IMAGENOLOGIA DENSITOMETRIA
105013000;LABORATORIO
104003000;MANT. Y SERVICIOS ADMINISTRATIVO
104002310;MANT. Y SERVICIOS AQ LAVANDERIA
104002300;MANT. Y SERVICIOS AREA QUIRURGICA
104002600;MANT. Y SERVICIOS AREAS COMUNES
104002200;MANT. Y SERVICIOS EMERGENCIA
104002000;MANT. Y SERVICIOS HOSP LAVANDERIA
104002100;MANT. Y SERVICIOS HOSPITALIZACION
104002500;MANT. Y SERVICIOS IMAG. HEMODINAMIA
104002400;MANT. Y SERVICIOS LABORATORIO
104001000;MANT. Y SERVICIOS LIMPIEZA
110004000;MANTENIMIENTO EDIFICIO
105002200;MEDICO RESIDENTE EMERGENCIA
105002000;MEDICO RESIDENTE HOSPITALIZACION
105002100;MEDICO RESIDENTE UCI
140000000;MOVIL SALUD
105004000;NUTRICION Y DIETETICA-COCINA
105004100;NUTRICION Y DIETETICA-MESONERIA
115003000;OPERADOR DENSITOMETRIA
140004000;OPERADORES DE RADIO
103004000;otro
155000000;P.A.S.A.C.A
140005000;PERSONAL DE MEDICOS
110012000;PERSONAL ESTACIONAMIENTO
140006000;PERSONAL PARAMEDICO
110000000;POLICLINICA TACHIRA
140008000;PROMOTORA
106003000;RECEPCION
115002000;SECRET. IMAGENOL/DIAGNOSTICO
125002000;SECRETARIA
110005000;SECRETARIA
140003000;SECRETARIA
106004000;SECRETARIA(O) ENFERMERIA
110003000;SEGURIDAD INTERNA
140010000;SEGURIDAD INTERNA SUPL
103002000;SEGURIDAD LABORAL
105003000;SERVICIO FARMACEUTICO HOSPITALARIO
110001000;SOCIEDAD MEDICA
101005000;SOCIEDAD MEDICA
140009000;SUPERV VENTAS
155001000;SUPERV. DE VENTAS
103001000;TALENTO HUMANO
105010000;TECNICO EN ESTERILIZACION
115001000;TECNICO RADIOLOGO
107001000;TECNOLOGIA DE LA INFORMACION
105012000;TERAPIA RESPIRATORIA
105007000;UNID DE IMAGENOLOGIA ADMINISTRAT
105011300;UNID IMAGENOLOGIA HEMODINAMIA
105011200;UNID. IMAGENOLOGIA RESONANCIA
105008000;UNID. IMAGENOLOGIA RX
105011100;UNID. IMAGENOLOGIA TOMOGRAFIA
105011000;UNIDAD IMAGENOLOGIA MAMOGRAFIA
150007000;Vendedora/FARMAC.
150006000;VIGILANTE INTERNO
